Sample Index,PPO Waveform,Other Waveform,SpO2,Heart Rate
602,1,0,99,57
603,0,34,99,57
604,0,44,99,57
605,0,54,99,57
606,0,64,99,57
607,0,71,99,57
608,0,74,99,57
609,0,75,99,57
610,2,74,99,57
611,4,72,99,57
612,6,70,99,57
613,9,68,99,57
614,10,67,99,57
615,12,65,99,57
616,12,63,99,57
617,12,61,99,57
618,12,58,99,57
619,11,56,99,57
620,11,55,99,57
621,10,255,99,57
622,10,0,99,57
623,9,0,99,57
624,9,0,99,57
625,9,0,99,57
626,8,0,99,57
627,8,0,99,57
628,7,0,99,57
629,7,0,99,57
630,7,41,99,57
631,7,39,99,57
632,7,37,99,57
633,7,35,99,57
634,6,34,99,57
635,6,32,99,57
636,6,31,99,57
637,5,30,99,57
638,5,29,99,57
639,4,27,99,57
640,4,27,99,57
641,3,26,99,57
642,3,25,99,57
643,3,25,99,57
644,2,25,99,57
645,2,24,99,57
646,1,23,99,57
647,1,22,99,57
648,1,255,99,57
649,1,0,99,57
650,1,0,99,57
651,1,0,99,57
652,0,0,99,57
653,0,0,99,57
654,0,0,99,57
655,0,0,99,57
656,0,0,99,57
657,0,68,99,57
658,0,66,99,57
659,1,64,99,57
660,2,62,99,67
661,5,60,99,67
662,7,58,99,67
663,9,56,99,67
664,11,54,99,67
665,12,52,99,67
666,12,51,99,67
667,12,51,99,67
668,11,51,99,67
669,11,52,99,67
670,10,52,99,67
671,10,52,99,67
672,10,51,99,67
673,9,51,99,67
674,9,50,99,67
675,8,255,99,67
676,8,0,99,67
677,7,0,99,67
678,7,0,99,67
679,7,0,99,67
680,7,0,99,67
681,7,0,99,67
682,7,0,99,67
683,7,0,99,67
684,6,31,99,67
685,6,30,99,67
686,6,29,99,67
687,5,29,99,67
688,5,29,99,67
689,4,28,99,67
690,4,27,99,67
691,3,27,99,67
692,3,26,99,67
693,3,25,99,67
694,2,24,99,67
695,2,25,99,67
696,2,29,99,67
697,1,35,99,67
698,1,44,99,67
699,1,53,99,67
700,1,60,99,67
701,0,65,99,67
702,0,255,99,67
703,0,0,99,67
704,0,0,99,67
705,0,0,99,67
706,0,0,99,67
707,0,0,99,67
708,0,0,99,67
709,0,0,99,67
710,0,0,99,67
711,0,47,99,67
712,2,47,99,67
713,4,48,99,67
714,7,48,99,67
715,9,48,99,67
716,11,48,99,67
717,11,47,99,67
718,11,46,99,67
719,11,45,99,67
720,11,43,99,70
721,10,41,99,70
722,10,39,99,70
723,9,38,99,70
724,9,36,99,70
725,8,34,99,70
726,8,33,99,70
727,7,32,99,70
728,7,30,99,70
729,7,255,99,70
730,7,0,99,70
731,7,0,99,70
732,7,0,99,70
733,7,0,99,70
734,7,0,99,70
735,7,0,99,70
736,7,0,99,70
737,6,0,99,70
738,6,22,99,70
739,6,22,99,70
740,5,23,99,70
741,5,27,99,70
742,4,34,99,70
743,4,44,99,70
744,3,53,99,70
745,3,62,99,70
746,3,68,99,70
747,2,199,99,70
748,2,71,99,70
